chromosome	position	control_type	bs_c	bs_total	oxbs_c	oxbs_total
Lambda_ctrl	22924	C	6	261	4	365
Lambda_ctrl	22928	C	4	258	0	364
Lambda_ctrl	22933	C	4	261	0	365
Lambda_ctrl	22938	C	4	261	0	365
Lambda_ctrl	22939	C	5	261	1	365
Lambda_ctrl	22944	C	4	261	0	365
Lambda_ctrl	22946	C	3	261	0	365
Lambda_ctrl	22953	C	5	261	0	365
Lambda_ctrl	22954	C	4	261	1	365
Lambda_ctrl	22963	C	4	261	1	365
Lambda_ctrl	22964	C	4	261	0	365
Lambda_ctrl	22970	C	5	261	0	363
Lambda_ctrl	22985	C	7	262	0	366
Lambda_ctrl	22987	C	4	262	0	366
Lambda_ctrl	22991	C	4	261	1	366
Lambda_ctrl	22994	C	5	260	2	366
Lambda_ctrl	22997	C	4	259	1	366
Lambda_ctrl	23002	C	5	259	1	365
Lambda_ctrl	23004	C	4	259	0	363
Lambda_ctrl	23005	C	4	259	1	363
Lambda_ctrl	23021	C	4	257	0	362
Lambda_ctrl	23024	C	6	257	1	362
Lambda_ctrl	23030	C	3	257	3	362
Lambda_ctrl	23033	C	4	257	1	363
Lambda_ctrl	23054	C	4	255	1	363
Lambda_ctrl	23075	C	4	244	0	351
Lambda_ctrl	23789	5hmC	4345	4551	52	582
Lambda_ctrl	23794	5hmC	4510	4741	53	628
Lambda_ctrl	23798	5hmC	4481	4792	76	631
Lambda_ctrl	23817	5hmC	4519	4810	60	632
Lambda_ctrl	23823	5hmC	4501	4815	67	632
Lambda_ctrl	23827	5hmC	4536	4815	65	632
Lambda_ctrl	23837	5hmC	4515	4817	66	632
Lambda_ctrl	23843	5hmC	4557	4819	66	632
Lambda_ctrl	23855	5hmC	4544	4819	61	633
Lambda_ctrl	23860	5hmC	4555	4821	63	633
Lambda_ctrl	23863	5hmC	4533	4820	60	633
Lambda_ctrl	23871	5hmC	4538	4822	79	632
Lambda_ctrl	23877	5hmC	4514	4820	55	632
Lambda_ctrl	23885	5hmC	4484	4818	52	629
Lambda_ctrl	23893	5hmC	4520	4817	53	608
Lambda_ctrl	23896	5hmC	4442	4815	58	627
Lambda_ctrl	23900	5hmC	4015	4815	48	625
Lambda_ctrl	23901	5hmC	4195	4814	48	624
Lambda_ctrl	23902	5hmC	4291	4814	59	625
Lambda_ctrl	23916	5hmC	4554	4805	72	613
Lambda_ctrl	23923	5hmC	4642	4799	52	612
Lambda_ctrl	23925	5hmC	4623	4802	60	612
Lambda_ctrl	23927	5hmC	4537	4801	53	612
Lambda_ctrl	23928	5hmC	4647	4804	66	611
Lambda_ctrl	23943	5hmC	4517	4789	59	609
Lambda_ctrl	23947	5hmC	4465	4780	45	610
Lambda_ctrl	23954	5hmC	4244	4628	54	546
Lambda_ctrl	47359	5mC	6185	6306	5201	5302
Lambda_ctrl	47367	5mC	6343	6474	5301	5420
Lambda_ctrl	47377	5mC	6311	6479	5286	5421
Lambda_ctrl	47387	5mC	6328	6479	5326	5424
Lambda_ctrl	47392	5mC	6337	6482	5299	5425
Lambda_ctrl	47394	5mC	6334	6481	5303	5426
Lambda_ctrl	47398	5mC	6305	6483	5286	5429
Lambda_ctrl	47404	5mC	6325	6484	5307	5429
Lambda_ctrl	47409	5mC	6294	6484	5262	5426
Lambda_ctrl	47411	5mC	6324	6484	5314	5426
Lambda_ctrl	47413	5mC	6320	6485	5296	5427
Lambda_ctrl	47419	5mC	6301	6484	5293	5425
Lambda_ctrl	47428	5mC	6327	6484	5279	5429
Lambda_ctrl	47440	5mC	6363	6488	5329	5429
Lambda_ctrl	47443	5mC	6343	6491	5310	5431
Lambda_ctrl	47444	5mC	6308	6491	5284	5430
Lambda_ctrl	47449	5mC	6367	6492	5316	5428
Lambda_ctrl	47450	5mC	6355	6491	5322	5431
Lambda_ctrl	47461	5mC	6322	6489	5303	5430
Lambda_ctrl	47462	5mC	6327	6489	5284	5431
Lambda_ctrl	47465	5mC	6305	6488	5284	5431
Lambda_ctrl	47466	5mC	6328	6487	5302	5431
Lambda_ctrl	47475	5mC	6335	6483	5309	5429
Lambda_ctrl	47481	5mC	6295	6484	5269	5425
Lambda_ctrl	47483	5mC	6316	6483	5303	5426
Lambda_ctrl	47492	5mC	6343	6483	5319	5427
Lambda_ctrl	47498	5mC	6314	6481	5256	5427
Lambda_ctrl	47507	5mC	6316	6478	5279	5421
Lambda_ctrl	47512	5mC	6303	6475	5276	5411
Lambda_ctrl	47516	5mC	6273	6461	5268	5417
Lambda_ctrl	47521	5mC	6265	6466	5246	5415
Lambda_ctrl	47525	5mC	6293	6459	5281	5411
Lambda_ctrl	47526	5mC	6277	6459	5259	5409
Lambda_ctrl	47528	5mC	6220	6428	5241	5398
Lambda_ctrl	47529	5mC	6214	6401	5218	5394
