chromosome	position	control_type	bs_c	bs_total	oxbs_c	oxbs_total
Lambda_ctrl	22924	C	8	680	8	3584
Lambda_ctrl	22928	C	11	676	23	3571
Lambda_ctrl	22933	C	10	681	10	3586
Lambda_ctrl	22938	C	12	681	17	3586
Lambda_ctrl	22939	C	9	682	7	3587
Lambda_ctrl	22944	C	6	682	15	3584
Lambda_ctrl	22946	C	9	682	11	3587
Lambda_ctrl	22953	C	7	682	10	3589
Lambda_ctrl	22954	C	8	682	3	3589
Lambda_ctrl	22963	C	15	684	18	3585
Lambda_ctrl	22964	C	6	684	14	3589
Lambda_ctrl	22970	C	9	684	15	3588
Lambda_ctrl	22985	C	9	689	24	3594
Lambda_ctrl	22987	C	10	689	18	3599
Lambda_ctrl	22991	C	9	687	12	3594
Lambda_ctrl	22994	C	7	687	21	3596
Lambda_ctrl	22997	C	13	683	20	3589
Lambda_ctrl	23002	C	8	683	12	3592
Lambda_ctrl	23004	C	12	681	24	3590
Lambda_ctrl	23005	C	9	682	9	3584
Lambda_ctrl	23021	C	15	677	34	3579
Lambda_ctrl	23024	C	15	677	19	3574
Lambda_ctrl	23030	C	9	677	18	3570
Lambda_ctrl	23033	C	8	677	13	3567
Lambda_ctrl	23054	C	8	670	5	3562
Lambda_ctrl	23075	C	7	622	5	3451
Lambda_ctrl	23789	5hmC	15118	15874	208	1956
Lambda_ctrl	23794	5hmC	15898	16704	275	2302
Lambda_ctrl	23798	5hmC	15816	16927	307	2345
Lambda_ctrl	23817	5hmC	15981	17009	300	2366
Lambda_ctrl	23823	5hmC	16002	17026	296	2368
Lambda_ctrl	23827	5hmC	15994	17037	288	2371
Lambda_ctrl	23837	5hmC	15992	17049	313	2373
Lambda_ctrl	23843	5hmC	16104	17062	290	2376
Lambda_ctrl	23855	5hmC	16080	17076	342	2375
Lambda_ctrl	23860	5hmC	16002	17079	322	2373
Lambda_ctrl	23863	5hmC	16134	17087	347	2374
Lambda_ctrl	23871	5hmC	16035	17087	315	2371
Lambda_ctrl	23877	5hmC	15978	17090	317	2374
Lambda_ctrl	23885	5hmC	15797	17083	275	2373
Lambda_ctrl	23893	5hmC	15932	17063	293	2294
Lambda_ctrl	23896	5hmC	15826	17082	302	2365
Lambda_ctrl	23900	5hmC	14043	17080	285	2363
Lambda_ctrl	23901	5hmC	14674	17079	249	2361
Lambda_ctrl	23902	5hmC	15234	17076	299	2364
Lambda_ctrl	23916	5hmC	15967	17062	342	2335
Lambda_ctrl	23923	5hmC	16367	17056	295	2331
Lambda_ctrl	23925	5hmC	16348	17049	264	2337
Lambda_ctrl	23927	5hmC	16010	17049	290	2337
Lambda_ctrl	23928	5hmC	16382	17050	327	2335
Lambda_ctrl	23943	5hmC	16052	17007	309	2325
Lambda_ctrl	23947	5hmC	15792	16958	265	2320
Lambda_ctrl	23954	5hmC	14918	16155	260	2063
Lambda_ctrl	47359	5mC	27945	28629	47328	48618
Lambda_ctrl	47367	5mC	28780	29515	49014	50218
Lambda_ctrl	47377	5mC	28707	29552	48928	50263
Lambda_ctrl	47387	5mC	28890	29567	49172	50286
Lambda_ctrl	47392	5mC	28767	29569	48814	50289
Lambda_ctrl	47394	5mC	28858	29585	49052	50306
Lambda_ctrl	47398	5mC	28756	29596	48808	50316
Lambda_ctrl	47404	5mC	28760	29594	48925	50313
Lambda_ctrl	47409	5mC	28690	29596	48875	50317
Lambda_ctrl	47411	5mC	28770	29604	48983	50320
Lambda_ctrl	47413	5mC	28747	29607	48939	50333
Lambda_ctrl	47419	5mC	28688	29605	48743	50319
Lambda_ctrl	47428	5mC	28753	29618	48948	50346
Lambda_ctrl	47440	5mC	28722	29617	48981	50348
Lambda_ctrl	47443	5mC	28729	29621	48915	50344
Lambda_ctrl	47444	5mC	28606	29621	48623	50345
Lambda_ctrl	47449	5mC	28847	29621	49058	50344
Lambda_ctrl	47450	5mC	28892	29624	49141	50365
Lambda_ctrl	47461	5mC	28776	29616	49058	50341
Lambda_ctrl	47462	5mC	28428	29610	48430	50337
Lambda_ctrl	47465	5mC	28660	29615	48730	50352
Lambda_ctrl	47466	5mC	28693	29603	48779	50331
Lambda_ctrl	47475	5mC	28756	29601	48866	50318
Lambda_ctrl	47481	5mC	28501	29600	48616	50306
Lambda_ctrl	47483	5mC	28564	29575	48617	50299
Lambda_ctrl	47492	5mC	28823	29590	49176	50305
Lambda_ctrl	47498	5mC	28770	29582	48895	50311
Lambda_ctrl	47507	5mC	28742	29570	48871	50303
Lambda_ctrl	47512	5mC	28857	29557	49010	50280
Lambda_ctrl	47516	5mC	28686	29552	48892	50247
Lambda_ctrl	47521	5mC	28638	29526	48724	50224
Lambda_ctrl	47525	5mC	28722	29468	48850	50145
Lambda_ctrl	47526	5mC	28669	29463	48776	50117
Lambda_ctrl	47528	5mC	28492	29383	48551	49944
Lambda_ctrl	47529	5mC	28406	29273	48193	49591
