chromosome	position	control_type	bs_c	bs_total	oxbs_c	oxbs_total
Lambda_ctrl	22924	C	2	409	0	76
Lambda_ctrl	22928	C	2	409	1	76
Lambda_ctrl	22933	C	2	410	0	76
Lambda_ctrl	22938	C	2	410	0	76
Lambda_ctrl	22939	C	2	410	0	76
Lambda_ctrl	22944	C	4	410	0	76
Lambda_ctrl	22946	C	1	410	0	76
Lambda_ctrl	22953	C	1	410	0	76
Lambda_ctrl	22954	C	2	410	0	76
Lambda_ctrl	22963	C	0	411	0	76
Lambda_ctrl	22964	C	2	410	0	76
Lambda_ctrl	22970	C	1	411	0	76
Lambda_ctrl	22985	C	2	411	0	76
Lambda_ctrl	22987	C	2	411	0	76
Lambda_ctrl	22991	C	2	411	0	76
Lambda_ctrl	22994	C	3	412	0	76
Lambda_ctrl	22997	C	3	412	0	76
Lambda_ctrl	23002	C	1	412	0	76
Lambda_ctrl	23004	C	2	412	0	76
Lambda_ctrl	23005	C	1	412	0	76
Lambda_ctrl	23021	C	2	412	0	76
Lambda_ctrl	23024	C	2	412	0	76
Lambda_ctrl	23030	C	1	412	0	76
Lambda_ctrl	23033	C	2	412	0	76
Lambda_ctrl	23054	C	2	411	0	76
Lambda_ctrl	23075	C	1	397	0	70
Lambda_ctrl	23789	5hmC	2594	2724	21	115
Lambda_ctrl	23794	5hmC	2640	2788	21	146
Lambda_ctrl	23798	5hmC	2615	2811	25	148
Lambda_ctrl	23817	5hmC	2633	2823	22	149
Lambda_ctrl	23823	5hmC	2622	2824	25	149
Lambda_ctrl	23827	5hmC	2639	2826	26	150
Lambda_ctrl	23837	5hmC	2640	2827	28	150
Lambda_ctrl	23843	5hmC	2674	2828	32	150
Lambda_ctrl	23855	5hmC	2651	2828	30	150
Lambda_ctrl	23860	5hmC	2647	2831	23	150
Lambda_ctrl	23863	5hmC	2645	2830	28	150
Lambda_ctrl	23871	5hmC	2655	2832	26	150
Lambda_ctrl	23877	5hmC	2612	2832	30	150
Lambda_ctrl	23885	5hmC	2583	2832	25	150
Lambda_ctrl	23893	5hmC	2647	2830	22	143
Lambda_ctrl	23896	5hmC	2613	2831	23	150
Lambda_ctrl	23900	5hmC	2334	2831	21	148
Lambda_ctrl	23901	5hmC	2491	2831	21	147
Lambda_ctrl	23902	5hmC	2524	2831	28	147
Lambda_ctrl	23916	5hmC	2654	2831	26	141
Lambda_ctrl	23923	5hmC	2707	2828	20	141
Lambda_ctrl	23925	5hmC	2678	2825	23	141
Lambda_ctrl	23927	5hmC	2647	2826	24	141
Lambda_ctrl	23928	5hmC	2715	2829	25	141
Lambda_ctrl	23943	5hmC	2628	2814	21	140
Lambda_ctrl	23947	5hmC	2644	2801	21	138
Lambda_ctrl	23954	5hmC	2480	2721	17	99
Lambda_ctrl	47359	5mC	1742	1785	3151	3205
Lambda_ctrl	47367	5mC	1783	1830	3228	3304
Lambda_ctrl	47377	5mC	1794	1831	3223	3308
Lambda_ctrl	47387	5mC	1787	1831	3251	3308
Lambda_ctrl	47392	5mC	1789	1831	3231	3309
Lambda_ctrl	47394	5mC	1790	1832	3236	3309
Lambda_ctrl	47398	5mC	1772	1833	3222	3311
Lambda_ctrl	47404	5mC	1783	1834	3235	3313
Lambda_ctrl	47409	5mC	1787	1834	3224	3313
Lambda_ctrl	47411	5mC	1787	1834	3227	3312
Lambda_ctrl	47413	5mC	1800	1835	3233	3313
Lambda_ctrl	47419	5mC	1792	1835	3233	3313
Lambda_ctrl	47428	5mC	1787	1835	3233	3313
Lambda_ctrl	47440	5mC	1808	1836	3265	3314
Lambda_ctrl	47443	5mC	1788	1837	3227	3312
Lambda_ctrl	47444	5mC	1792	1837	3243	3314
Lambda_ctrl	47449	5mC	1810	1837	3248	3315
Lambda_ctrl	47450	5mC	1803	1837	3250	3314
Lambda_ctrl	47461	5mC	1791	1835	3257	3314
Lambda_ctrl	47462	5mC	1799	1835	3243	3315
Lambda_ctrl	47465	5mC	1797	1835	3244	3314
Lambda_ctrl	47466	5mC	1788	1834	3243	3313
Lambda_ctrl	47475	5mC	1784	1835	3232	3313
Lambda_ctrl	47481	5mC	1783	1834	3238	3311
Lambda_ctrl	47483	5mC	1783	1832	3228	3312
Lambda_ctrl	47492	5mC	1798	1834	3259	3309
Lambda_ctrl	47498	5mC	1788	1832	3224	3305
Lambda_ctrl	47507	5mC	1788	1829	3219	3303
Lambda_ctrl	47512	5mC	1783	1826	3187	3288
Lambda_ctrl	47516	5mC	1778	1830	3217	3299
Lambda_ctrl	47521	5mC	1761	1816	3174	3288
Lambda_ctrl	47525	5mC	1751	1812	3147	3239
Lambda_ctrl	47526	5mC	1756	1819	3180	3271
Lambda_ctrl	47528	5mC	1766	1818	3181	3275
Lambda_ctrl	47529	5mC	1763	1816	3195	3278
