chromosome	position	bs_c	bs_total	oxbs_c	oxbs_total
chrX	7159069	4873	8851	6169	25984
chrX	7159186	7916	8806	17393	25780
chrX	7159222	41348	46068	67512	87105
chrX	7159235	36134	46106	54044	87168
chrX	7161112	19631	20495	34486	35532
chrX	7161128	20248	20586	34734	35627
chrX	7161162	20784	21104	33363	36120
chrX	7161189	20628	21148	34566	36156
chrX	7161194	20554	21155	34178	36147
chrX	7161243	31520	33963	60416	65183
chrX	7161262	32264	33965	61281	65216
chrX	7161266	32028	33960	62175	65231
chrX	7161274	31742	33931	59792	65134
chrX	7161336	9645	11899	22712	28962
chrX	7161406	9898	11554	20362	28414
