chromosome	position	bs_c	bs_total	oxbs_c	oxbs_total
chrX	7159069	684	2072	414	2306
chrX	7159186	1387	2032	1456	2286
chrX	7159222	3974	5047	4952	6679
chrX	7159235	4246	5047	4903	6683
chrX	7161112	2259	2462	2350	2631
chrX	7161128	2391	2472	2611	2640
chrX	7161162	2340	2536	2378	2685
chrX	7161189	2441	2543	2641	2692
chrX	7161194	2316	2542	2576	2694
chrX	7161243	4019	4530	4092	5021
chrX	7161262	4194	4535	4456	5025
chrX	7161266	4207	4539	4433	5026
chrX	7161274	3942	4534	4316	5023
chrX	7161336	1460	2006	1503	2381
chrX	7161406	1439	1955	1515	2323
