chromosome	position	bs_c	bs_total	oxbs_c	oxbs_total
chrX	7159069	159	2152	384	3805
chrX	7159186	1038	2100	1143	3757
chrX	7159222	4927	8909	3074	8533
chrX	7159235	5181	8924	3431	8540
chrX	7161112	2106	2656	2044	2660
chrX	7161128	2402	2667	2216	2672
chrX	7161162	2113	2797	2004	2806
chrX	7161189	2485	2811	2399	2822
chrX	7161194	2500	2808	2343	2825
chrX	7161243	3619	5341	3856	6263
chrX	7161262	3784	5342	3924	6264
chrX	7161266	4436	5341	4475	6264
chrX	7161274	3481	5336	3774	6257
chrX	7161336	1051	2346	1245	3369
chrX	7161406	1015	2232	1150	3255
