chromosome	position	bs_c	bs_total	oxbs_c	oxbs_total
chrX	7159069	1900	3339	1149	3062
chrX	7159186	2776	3317	2197	3027
chrX	7159222	4713	5336	3745	4800
chrX	7159235	4637	5336	3653	4808
chrX	7161112	2639	2838	2623	2779
chrX	7161128	2778	2846	2738	2793
chrX	7161162	2752	2901	2736	2855
chrX	7161189	2747	2904	2740	2863
chrX	7161194	2791	2904	2648	2862
chrX	7161243	5107	5353	4991	5381
chrX	7161262	5040	5354	5099	5384
chrX	7161266	5105	5358	5160	5375
chrX	7161274	5076	5357	4827	5372
chrX	7161336	2139	2496	1963	2545
chrX	7161406	2210	2453	1723	2508
