chromosome	position	bs_c	bs_total	oxbs_c	oxbs_total
chrX	7159069	181	1970	309	3436
chrX	7159186	970	1939	1358	3387
chrX	7159222	3156	5764	2426	5723
chrX	7159235	3218	5765	1867	5723
chrX	7161112	1616	2156	2193	2643
chrX	7161128	1939	2176	2234	2652
chrX	7161162	1645	2256	2049	2701
chrX	7161189	2042	2264	2274	2709
chrX	7161194	2070	2265	2230	2707
chrX	7161243	2859	4342	3421	5659
chrX	7161262	3037	4340	3581	5666
chrX	7161266	3609	4339	4148	5664
chrX	7161274	2826	4334	3323	5664
chrX	7161336	876	2074	1085	2963
chrX	7161406	911	2037	1061	2934
