chromosome	position	bs_c	bs_total	oxbs_c	oxbs_total
chrX	7159069	6252	9584	3201	9305
chrX	7159186	8921	9517	7948	9246
chrX	7159222	46942	51062	40117	45708
chrX	7159235	44694	51099	34191	45742
chrX	7161112	19572	20188	23718	24722
chrX	7161128	19822	20260	24054	24797
chrX	7161162	19641	20743	23849	25421
chrX	7161189	20376	20766	24272	25479
chrX	7161194	19827	20770	24678	25488
chrX	7161243	31695	33232	32567	36833
chrX	7161262	31716	33224	33889	36810
chrX	7161266	30891	33229	34714	36824
chrX	7161274	31502	33207	32946	36801
chrX	7161336	10703	12059	8192	10645
chrX	7161406	10763	11757	7808	10294
