chromosome	position	bs_c	bs_total	oxbs_c	oxbs_total
chrX	7159069	138	4481	18	592
chrX	7159186	819	4416	125	576
chrX	7159222	2488	10301	750	4470
chrX	7159235	3397	10312	976	4480
chrX	7161112	436	1857	75	381
chrX	7161128	687	1866	100	386
chrX	7161162	472	1997	94	458
chrX	7161189	942	2007	135	470
chrX	7161194	866	2009	133	468
chrX	7161243	846	5254	153	1344
chrX	7161262	912	5260	199	1343
chrX	7161266	1651	5261	316	1345
chrX	7161274	734	5245	163	1346
chrX	7161336	200	3120	51	694
chrX	7161406	168	3057	36	660
