chromosome	position	bs_c	bs_total	oxbs_c	oxbs_total
chrX	7159069	1338	3056	565	2057
chrX	7159186	2276	3031	1428	2028
chrX	7159222	7099	9005	6297	8563
chrX	7159235	7533	9017	6444	8575
chrX	7161112	1847	1927	1668	1751
chrX	7161128	1900	1935	1742	1763
chrX	7161162	1898	2004	1628	1853
chrX	7161189	1912	2005	1808	1856
chrX	7161194	1886	1997	1755	1855
chrX	7161243	4550	4848	4084	4672
chrX	7161262	4595	4848	4174	4675
chrX	7161266	4532	4850	4328	4673
chrX	7161274	4503	4840	4039	4665
chrX	7161336	2267	2790	1972	2774
chrX	7161406	2140	2618	1773	2579
