chromosome	position	bs_c	bs_total	oxbs_c	oxbs_total
chrX	7159069	110	1698	77	2216
chrX	7159186	653	1665	666	2172
chrX	7159222	4080	8534	3247	8399
chrX	7159235	4402	8547	3199	8407
chrX	7161112	1226	1764	1544	2169
chrX	7161128	1548	1770	1690	2177
chrX	7161162	1279	1886	1523	2318
chrX	7161189	1599	1876	1909	2317
chrX	7161194	1597	1875	1854	2314
chrX	7161243	2066	4050	2537	5083
chrX	7161262	2502	4054	2811	5087
chrX	7161266	3055	4053	3165	5089
chrX	7161274	2037	4044	2262	5083
chrX	7161336	755	1963	760	2564
chrX	7161406	634	1870	669	2458
