chromosome	position	bs_c	bs_total	oxbs_c	oxbs_total
chrX	7159069	488	2384	440	2257
chrX	7159186	1372	2339	1339	2232
chrX	7159222	3906	5622	4321	6179
chrX	7159235	4287	5630	4694	6184
chrX	7161112	1836	2373	1386	1800
chrX	7161128	2181	2384	1667	1808
chrX	7161162	2013	2467	1383	1877
chrX	7161189	2240	2473	1741	1879
chrX	7161194	2220	2473	1556	1878
chrX	7161243	3538	4848	2660	3996
chrX	7161262	3868	4856	2999	3998
chrX	7161266	3863	4853	3257	3997
chrX	7161274	3178	4853	2229	3997
chrX	7161336	1132	2426	668	2138
chrX	7161406	1019	2384	565	2096
