chromosome	position	bs_c	bs_total	oxbs_c	oxbs_total
chrX	7159069	664	1646	689	2260
chrX	7159186	1236	1634	1558	2253
chrX	7159222	5532	7087	6587	8580
chrX	7159235	5896	7098	6456	8588
chrX	7161112	1851	2015	2048	2381
chrX	7161128	1987	2026	2256	2393
chrX	7161162	1963	2116	2147	2500
chrX	7161189	2006	2122	2374	2509
chrX	7161194	1995	2120	2304	2504
chrX	7161243	3547	3930	4032	5200
chrX	7161262	3617	3930	4511	5196
chrX	7161266	3647	3927	4494	5198
chrX	7161274	3433	3922	4387	5196
chrX	7161336	1304	1701	1665	2511
chrX	7161406	1150	1599	1436	2387
