chromosome	position	bs_c	bs_total	oxbs_c	oxbs_total
chrX	7159069	742	2852	509	2758
chrX	7159186	1750	2811	1692	2734
chrX	7159222	5807	8284	6565	9696
chrX	7159235	6215	8292	6974	9708
chrX	7161112	1867	2327	1708	2154
chrX	7161128	2226	2336	2012	2170
chrX	7161162	2085	2454	1709	2282
chrX	7161189	2264	2458	2080	2290
chrX	7161194	2204	2447	1996	2287
chrX	7161243	3712	4814	3385	5191
chrX	7161262	3935	4810	3862	5191
chrX	7161266	3961	4814	4044	5195
chrX	7161274	3324	4808	3027	5183
chrX	7161336	1068	2290	835	2813
chrX	7161406	898	2197	599	2707
