chromosome	position	bs_c	bs_total	oxbs_c	oxbs_total
chrX	7159069	3383	4971	8038	17081
chrX	7159186	4379	4930	14908	16955
chrX	7159222	26603	29571	66826	77396
chrX	7159235	26430	29609	59135	77462
chrX	7161112	13074	13717	34677	37246
chrX	7161128	13530	13769	36664	37350
chrX	7161162	13580	14217	34842	38050
chrX	7161189	13871	14244	35550	38107
chrX	7161194	13710	14238	37183	38113
chrX	7161243	20413	21303	50743	54270
chrX	7161262	20041	21290	50585	54259
chrX	7161266	19985	21280	51127	54245
chrX	7161274	20126	21278	49535	54200
chrX	7161336	5625	6475	12778	16414
chrX	7161406	5729	6164	11703	16032
