chromosome	position	bs_c	bs_total	oxbs_c	oxbs_total
chrX	7159069	106	2007	54	2285
chrX	7159186	801	1974	591	2255
chrX	7159222	3060	6208	2978	6458
chrX	7159235	3442	6221	2417	6462
chrX	7161112	1533	2242	1364	2227
chrX	7161128	1933	2247	1552	2235
chrX	7161162	1612	2341	1385	2289
chrX	7161189	2012	2350	1785	2291
chrX	7161194	2084	2349	1789	2293
chrX	7161243	2411	4347	2154	4779
chrX	7161262	2672	4345	2466	4781
chrX	7161266	3214	4347	3019	4782
chrX	7161274	2327	4339	2245	4781
chrX	7161336	581	1977	572	2489
chrX	7161406	634	1930	781	2436
