chromosome	position	bs_c	bs_total	oxbs_c	oxbs_total
chrX	7159069	139	3489	27	512
chrX	7159186	674	3442	53	501
chrX	7159222	1677	6018	948	3603
chrX	7159235	2210	6023	908	3603
chrX	7161112	407	1940	100	338
chrX	7161128	683	1951	107	342
chrX	7161162	452	2030	80	396
chrX	7161189	1001	2032	164	399
chrX	7161194	908	2032	121	398
chrX	7161243	749	4796	166	1107
chrX	7161262	914	4800	183	1106
chrX	7161266	1677	4801	258	1107
chrX	7161274	719	4802	152	1107
chrX	7161336	190	2767	40	603
chrX	7161406	170	2722	31	573
