chromosome	position	bs_c	bs_total	oxbs_c	oxbs_total
chrX	7159069	13274	19778	6762	13378
chrX	7159186	18165	19678	10979	13306
chrX	7159222	54087	58101	46570	54407
chrX	7159235	49807	58149	40108	54438
chrX	7161112	18364	20176	16395	17700
chrX	7161128	19615	20244	17402	17762
chrX	7161162	20115	20657	17568	18241
chrX	7161189	19951	20692	17420	18265
chrX	7161194	19510	20689	16939	18255
chrX	7161243	32945	35068	31085	33064
chrX	7161262	33029	35064	31140	33072
chrX	7161266	33157	35060	31173	33047
chrX	7161274	33403	35034	30150	33026
chrX	7161336	11774	14486	12387	14984
chrX	7161406	13448	14244	11256	14663
